row_id,order_id,order_date,ship_date,ship_mode,customer_id,product_id,country,region,postal_code,sales,quantity,discount,profit
53,CA-2015-115742,2015-04-18,2015-04-22,"Standard Class",DP-13000,FUR-CH-10003061,"United States",Central,47150,89.99,1,NULL,17.1
54,CA-2016-105816,2016-12-11,2016-12-17,"Standard Class",JM-15265,OFF-FA-10000304,"United States",East,10024,15.26,7,NULL,6.26
55,CA-2016-105816,2016-12-11,2016-12-17,"Standard Class",JM-15265,TEC-PH-10002447,"United States",East,10024,1029.95,5,NULL,298.69
56,CA-2016-111682,2016-06-17,2016-06-18,"First Class",TB-21055,OFF-ST-10000604,"United States",East,12180,208.56,6,NULL,52.14
57,CA-2016-111682,2016-06-17,2016-06-18,"First Class",TB-21055,OFF-PA-10001569,"United States",East,12180,32.4,5,NULL,15.55
58,CA-2016-111682,2016-06-17,2016-06-18,"First Class",TB-21055,FUR-CH-10003968,"United States",East,12180,319.41,5,0.1,7.1
59,CA-2016-111682,2016-06-17,2016-06-18,"First Class",TB-21055,OFF-PA-10000587,"United States",East,12180,14.56,2,NULL,6.99
60,CA-2016-111682,2016-06-17,2016-06-18,"First Class",TB-21055,TEC-AC-10002167,"United States",East,12180,30,2,NULL,3.3
61,CA-2016-111682,2016-06-17,2016-06-18,"First Class",TB-21055,OFF-BI-10001460,"United States",East,12180,48.48,4,0.2,16.36
62,CA-2016-111682,2016-06-17,2016-06-18,"First Class",TB-21055,OFF-AR-10001868,"United States",East,12180,1.68,1,NULL,0.84
63,CA-2015-135545,2015-11-24,2015-11-30,"Standard Class",KM-16720,TEC-AC-10004633,"United States",West,90004,13.98,2,NULL,6.15
64,CA-2015-135545,2015-11-24,2015-11-30,"Standard Class",KM-16720,OFF-BI-10001078,"United States",West,90004,25.82,6,0.2,9.36
65,CA-2015-135545,2015-11-24,2015-11-30,"Standard Class",KM-16720,OFF-PA-10003892,"United States",West,90004,146.73,3,NULL,68.96
66,CA-2015-135545,2015-11-24,2015-11-30,"Standard Class",KM-16720,FUR-FU-10000397,"United States",West,90004,79.76,4,NULL,22.33
67,US-2015-164175,2015-04-30,2015-05-05,"Standard Class",PS-18970,FUR-CH-10001146,"United States",Central,60610,213.12,5,0.3,-15.22
68,CA-2014-106376,2014-12-05,2014-12-10,"Standard Class",BS-11590,OFF-AR-10002671,"United States",West,85234,1113.02,8,0.2,111.3
69,CA-2014-106376,2014-12-05,2014-12-10,"Standard Class",BS-11590,TEC-PH-10002726,"United States",West,85234,167.97,4,0.2,62.99
70,CA-2016-119823,2016-06-04,2016-06-06,"First Class",KD-16270,OFF-PA-10000482,"United States",South,22153,75.88,2,NULL,35.66
71,CA-2016-106075,2016-09-18,2016-09-23,"Standard Class",HM-14980,OFF-BI-10004654,"United States",East,10009,4.62,1,0.2,1.73
72,CA-2017-114440,2017-09-14,2017-09-17,"Second Class",TB-21520,OFF-PA-10004675,"United States",Central,49201,19.05,3,NULL,8.76
73,US-2015-134026,2015-04-26,2015-05-02,"Standard Class",JE-15745,FUR-CH-10000513,"United States",South,38109,831.94,8,0.2,-114.39
74,US-2015-134026,2015-04-26,2015-05-02,"Standard Class",JE-15745,FUR-FU-10003708,"United States",South,38109,97.04,2,0.2,1.21
75,US-2015-134026,2015-04-26,2015-05-02,"Standard Class",JE-15745,OFF-ST-10004123,"United States",South,38109,72.78,1,0.2,-18.2
76,US-2017-118038,2017-12-09,2017-12-11,"First Class",KB-16600,OFF-BI-10004182,"United States",Central,77041,1.25,3,0.8,-1.93
78,US-2017-118038,2017-12-09,2017-12-11,"First Class",KB-16600,OFF-ST-10000615,"United States",Central,77041,27.24,3,0.2,2.72
79,US-2014-147606,2014-11-26,2014-12-01,"Second Class",JE-15745,FUR-FU-10003194,"United States",Central,77070,19.3,5,0.6,-14.48
80,CA-2016-127208,2016-06-12,2016-06-15,"First Class",SC-20770,OFF-AP-10002118,"United States",South,35601,208.16,1,NULL,56.2
81,CA-2016-127208,2016-06-12,2016-06-15,"First Class",SC-20770,OFF-BI-10002309,"United States",South,35601,16.74,3,NULL,8.04
82,CA-2014-139451,2014-10-12,2014-10-16,"Standard Class",DN-13690,OFF-AR-10002053,"United States",West,94122,14.9,5,NULL,4.17
83,CA-2014-139451,2014-10-12,2014-10-16,"Standard Class",DN-13690,OFF-ST-10002370,"United States",West,94122,21.39,1,NULL,6.2
84,CA-2015-149734,2015-09-03,2015-09-08,"Standard Class",JC-16105,OFF-EN-10000927,"United States",South,27707,200.98,7,0.2,62.81
85,US-2017-119662,2017-11-13,2017-11-16,"First Class",CS-12400,OFF-ST-10003656,"United States",Central,60623,230.38,3,0.2,-48.95
86,CA-2017-140088,2017-05-28,2017-05-30,"Second Class",PO-18865,FUR-CH-10000863,"United States",South,29203,301.96,2,NULL,33.22
87,CA-2017-155558,2017-10-26,2017-11-02,"Standard Class",PG-18895,TEC-AC-10001998,"United States",Central,55901,19.99,1,NULL,6.8
88,CA-2017-155558,2017-10-26,2017-11-02,"Standard Class",PG-18895,OFF-LA-10000134,"United States",Central,55901,6.16,2,NULL,2.96
89,CA-2016-159695,2016-04-05,2016-04-10,"Second Class",GM-14455,OFF-ST-10003442,"United States",Central,77095,158.37,7,0.2,13.86
90,CA-2016-109806,2016-09-17,2016-09-22,"Standard Class",JS-15685,OFF-AR-10004930,"United States",West,90036,20.1,3,NULL,6.63
91,CA-2016-109806,2016-09-17,2016-09-22,"Standard Class",JS-15685,TEC-PH-10004093,"United States",West,90036,73.58,2,0.2,8.28
92,CA-2016-109806,2016-09-17,2016-09-22,"Standard Class",JS-15685,OFF-PA-10000304,"United States",West,90036,6.48,1,NULL,3.11
93,CA-2015-149587,2015-01-31,2015-02-05,"Second Class",KB-16315,OFF-PA-10003177,"United States",Central,55407,12.96,2,NULL,6.22
94,CA-2015-149587,2015-01-31,2015-02-05,"Second Class",KB-16315,FUR-FU-10003799,"United States",Central,55407,53.34,3,NULL,16.54
95,CA-2015-149587,2015-01-31,2015-02-05,"Second Class",KB-16315,OFF-BI-10002852,"United States",Central,55407,32.96,2,NULL,16.15
96,US-2017-109484,2017-11-06,2017-11-12,"Standard Class",RB-19705,OFF-BI-10004738,"United States",West,97206,5.68,1,0.7,-3.79
97,CA-2017-161018,2017-11-09,2017-11-11,"Second Class",PN-18775,FUR-FU-10000629,"United States",East,10009,96.53,7,NULL,40.54
98,CA-2017-157833,2017-06-17,2017-06-20,"First Class",KD-16345,OFF-BI-10001721,"United States",West,94122,51.31,3,0.2,17.96
99,CA-2016-149223,2016-09-06,2016-09-11,"Standard Class",ER-13855,OFF-AP-10000358,"United States",Central,55106,77.88,6,NULL,22.59
100,CA-2016-158568,2016-08-29,2016-09-02,"Standard Class",RB-19465,OFF-PA-10003256,"United States",Central,60610,64.62,7,0.2,22.62
101,CA-2016-158568,2016-08-29,2016-09-02,"Standard Class",RB-19465,TEC-AC-10001767,"United States",Central,60610,95.98,3,0.2,-10.8
102,CA-2016-158568,2016-08-29,2016-09-02,"Standard Class",RB-19465,OFF-BI-10002609,"United States",Central,60610,1.79,3,0.8,-3.04
103,CA-2016-129903,2016-12-01,2016-12-04,"Second Class",GZ-14470,OFF-PA-10004040,"United States",Central,55901,23.92,4,NULL,11.72
104,US-2015-156867,2015-11-13,2015-11-17,"Standard Class",LC-16870,TEC-AC-10001552,"United States",West,80013,238.9,6,0.2,-26.88
105,US-2015-156867,2015-11-13,2015-11-17,"Standard Class",LC-16870,FUR-FU-10004006,"United States",West,80013,102.36,3,0.2,-3.84
107,CA-2017-119004,2017-11-23,2017-11-28,"Standard Class",JM-15250,TEC-AC-10003499,"United States",South,28205,74.11,8,0.2,17.6
108,CA-2017-119004,2017-11-23,2017-11-28,"Standard Class",JM-15250,TEC-PH-10002844,"United States",South,28205,27.99,1,0.2,2.1
109,CA-2017-119004,2017-11-23,2017-11-28,"Standard Class",JM-15250,OFF-AR-10000390,"United States",South,28205,3.3,1,0.2,1.07
110,CA-2015-129476,2015-10-15,2015-10-20,"Standard Class",PA-19060,TEC-AC-10000844,"United States",Central,60462,339.96,5,0.2,67.99
111,CA-2017-146780,2017-12-25,2017-12-30,"Standard Class",CV-12805,FUR-FU-10001934,"United States",East,10035,41.96,2,NULL,10.91
112,CA-2016-128867,2016-11-03,2016-11-10,"Standard Class",CL-12565,OFF-AR-10000380,"United States",Central,50322,75.96,2,NULL,22.79
113,CA-2016-128867,2016-11-03,2016-11-10,"Standard Class",CL-12565,OFF-BI-10003981,"United States",Central,50322,27.24,6,NULL,13.35
114,CA-2014-115259,2014-08-25,2014-08-27,"Second Class",RC-19960,OFF-FA-10000621,"United States",East,43229,40.1,14,0.2,14.53
115,CA-2014-115259,2014-08-25,2014-08-27,"Second Class",RC-19960,OFF-EN-10002600,"United States",East,43229,4.72,2,0.2,1.65
116,CA-2014-115259,2014-08-25,2014-08-27,"Second Class",RC-19960,OFF-PA-10004965,"United States",East,43229,23.98,3,0.2,7.49
117,CA-2014-115259,2014-08-25,2014-08-27,"Second Class",RC-19960,OFF-EN-10002504,"United States",East,43229,130.46,6,0.2,44.03
118,CA-2015-110457,2015-03-02,2015-03-06,"Standard Class",DK-13090,FUR-TA-10001768,"United States",West,98103,787.53,3,NULL,165.38
119,US-2015-136476,2015-04-05,2015-04-10,"Standard Class",GG-14650,OFF-BI-10003650,"United States",South,37620,157.79,1,0.7,-115.72
120,CA-2016-103730,2016-06-12,2016-06-15,"First Class",SC-20725,FUR-FU-10002157,"United States",East,19805,47.04,3,NULL,18.35
121,CA-2016-103730,2016-06-12,2016-06-15,"First Class",SC-20725,OFF-BI-10003910,"United States",East,19805,30.84,4,NULL,13.88
122,CA-2016-103730,2016-06-12,2016-06-15,"First Class",SC-20725,OFF-ST-10000777,"United States",East,19805,226.56,6,NULL,63.44
123,CA-2016-103730,2016-06-12,2016-06-15,"First Class",SC-20725,OFF-EN-10002500,"United States",East,19805,115.02,9,NULL,51.76
124,CA-2016-103730,2016-06-12,2016-06-15,"First Class",SC-20725,TEC-PH-10003875,"United States",East,19805,68.04,7,NULL,19.73
125,US-2014-152030,2014-12-26,2014-12-28,"Second Class",AD-10180,FUR-CH-10004063,"United States",Central,77041,600.56,3,0.3,-8.58
126,US-2014-134614,2014-09-20,2014-09-25,"Standard Class",PF-19165,FUR-TA-10004534,"United States",Central,61701,617.7,6,0.5,-407.68
127,US-2017-107272,2017-11-05,2017-11-12,"Standard Class",TS-21610,OFF-BI-10003274,"United States",West,85023,2.39,2,0.7,-1.83
128,US-2017-107272,2017-11-05,2017-11-12,"Standard Class",TS-21610,OFF-ST-10002974,"United States",West,85023,243.99,7,0.2,30.5
129,US-2016-125969,2016-11-06,2016-11-10,"Second Class",LS-16975,FUR-CH-10001146,"United States",West,90004,81.42,2,0.2,-9.16
130,US-2016-125969,2016-11-06,2016-11-10,"Second Class",LS-16975,FUR-FU-10003773,"United States",West,90004,238.56,3,NULL,26.24
131,US-2017-164147,2017-02-02,2017-02-05,"First Class",DW-13585,TEC-PH-10002293,"United States",East,43229,59.97,5,0.4,-11.99
132,US-2017-164147,2017-02-02,2017-02-05,"First Class",DW-13585,OFF-PA-10002377,"United States",East,43229,78.3,2,0.2,29.36
133,US-2017-164147,2017-02-02,2017-02-05,"First Class",DW-13585,OFF-FA-10002780,"United States",East,43229,21.46,9,0.2,6.97
134,CA-2016-145583,2016-10-13,2016-10-19,"Standard Class",LC-16885,OFF-PA-10001804,"United States",West,95661,20.04,3,NULL,9.62
135,CA-2016-145583,2016-10-13,2016-10-19,"Standard Class",LC-16885,OFF-PA-10001736,"United States",West,95661,35.44,1,NULL,16.66
136,CA-2016-145583,2016-10-13,2016-10-19,"Standard Class",LC-16885,OFF-AR-10001149,"United States",West,95661,11.52,4,NULL,3.46
137,CA-2016-145583,2016-10-13,2016-10-19,"Standard Class",LC-16885,OFF-FA-10002988,"United States",West,95661,4.02,2,NULL,1.97
138,CA-2016-145583,2016-10-13,2016-10-19,"Standard Class",LC-16885,OFF-BI-10004781,"United States",West,95661,76.18,3,0.2,26.66
139,CA-2016-145583,2016-10-13,2016-10-19,"Standard Class",LC-16885,OFF-SU-10001218,"United States",West,95661,65.88,6,NULL,18.45
140,CA-2016-145583,2016-10-13,2016-10-19,"Standard Class",LC-16885,FUR-FU-10001706,"United States",West,95661,43.12,14,NULL,20.7
141,CA-2016-110366,2016-09-05,2016-09-07,"Second Class",JD-15895,FUR-FU-10004848,"United States",East,19140,82.8,2,0.2,10.35
142,CA-2017-106180,2017-09-18,2017-09-23,"Standard Class",SH-19975,OFF-AR-10000940,"United States",West,94122,8.82,3,NULL,2.38
143,CA-2017-106180,2017-09-18,2017-09-23,"Standard Class",SH-19975,OFF-EN-10004030,"United States",West,94122,10.86,3,NULL,5.1
144,CA-2017-106180,2017-09-18,2017-09-23,"Standard Class",SH-19975,OFF-PA-10004327,"United States",West,94122,143.7,3,NULL,68.98
145,CA-2017-155376,2017-12-22,2017-12-27,"Standard Class",SG-20080,OFF-AP-10001058,"United States",Central,64055,839.43,3,NULL,218.25
146,CA-2015-110744,2015-09-07,2015-09-12,"Standard Class",HA-14920,OFF-ST-10003656,"United States",West,91104,671.93,7,NULL,20.16
147,CA-2014-110072,2014-10-22,2014-10-28,"Standard Class",MG-17680,FUR-FU-10000521,"United States",East,43055,93.89,4,0.2,12.91
148,CA-2016-114489,2016-12-05,2016-12-09,"Standard Class",JE-16165,TEC-PH-10000215,"United States",Central,53132,384.45,11,NULL,103.8
149,CA-2016-114489,2016-12-05,2016-12-09,"Standard Class",JE-16165,TEC-PH-10001448,"United States",Central,53132,149.97,3,NULL,6
150,CA-2016-114489,2016-12-05,2016-12-09,"Standard Class",JE-16165,FUR-CH-10000454,"United States",Central,53132,1951.84,8,NULL,585.55
151,CA-2016-114489,2016-12-05,2016-12-09,"Standard Class",JE-16165,OFF-BI-10002735,"United States",Central,53132,171.55,5,NULL,80.63
152,CA-2016-158834,2016-03-13,2016-03-16,"First Class",TW-21025,OFF-AP-10000326,"United States",West,85254,157.92,5,0.2,17.77
153,CA-2016-158834,2016-03-13,2016-03-16,"First Class",TW-21025,TEC-PH-10001254,"United States",West,85254,203.18,2,0.2,15.24
154,CA-2015-124919,2015-05-31,2015-06-02,"First Class",SP-20650,OFF-PA-10001950,"United States",West,95123,58.38,7,NULL,26.27
155,CA-2015-124919,2015-05-31,2015-06-02,"First Class",SP-20650,OFF-PA-10002254,"United States",West,95123,105.52,4,NULL,48.54
156,CA-2015-124919,2015-05-31,2015-06-02,"First Class",SP-20650,OFF-ST-10001590,"United States",West,95123,80.88,6,NULL,21.03
157,CA-2015-118948,2015-05-28,2015-06-03,"Standard Class",NK-18490,OFF-AR-10001547,"United States",West,98105,6.63,3,NULL,1.79
158,CA-2014-104269,2014-03-01,2014-03-06,"Second Class",DB-13060,FUR-CH-10004063,"United States",West,98115,457.57,2,0.2,51.48
159,CA-2016-114104,2016-11-20,2016-11-24,"Standard Class",NP-18670,OFF-LA-10002475,"United States",Central,73034,14.62,2,NULL,6.87
160,CA-2016-114104,2016-11-20,2016-11-24,"Standard Class",NP-18670,TEC-PH-10004536,"United States",Central,73034,944.93,7,NULL,236.23
161,CA-2016-162733,2016-05-11,2016-05-12,"First Class",TT-21070,OFF-PA-10002751,"United States",West,90045,5.98,1,NULL,2.69
162,CA-2015-119697,2015-12-28,2015-12-31,"Second Class",EM-13960,TEC-AC-10003657,"United States",East,19134,54.38,2,0.2,1.36
163,CA-2016-154508,2016-11-16,2016-11-20,"Standard Class",RD-19900,OFF-EN-10001990,"United States",West,88220,28.4,5,NULL,13.35
164,CA-2016-113817,2016-11-07,2016-11-11,"Standard Class",MJ-17740,OFF-BI-10004002,"United States",West,98115,27.68,2,0.2,9.69
165,CA-2014-139892,2014-09-08,2014-09-12,"Standard Class",BM-11140,OFF-AR-10004441,"United States",Central,78207,9.94,3,0.2,2.73
166,CA-2014-139892,2014-09-08,2014-09-12,"Standard Class",BM-11140,TEC-MA-10000822,"United States",Central,78207,8159.95,8,0.4,-1359.99
167,CA-2014-139892,2014-09-08,2014-09-12,"Standard Class",BM-11140,OFF-ST-10000991,"United States",Central,78207,275.93,3,0.2,-58.63
168,CA-2014-139892,2014-09-08,2014-09-12,"Standard Class",BM-11140,FUR-CH-10004287,"United States",Central,78207,1740.06,9,0.3,-24.86
169,CA-2014-139892,2014-09-08,2014-09-12,"Standard Class",BM-11140,OFF-AR-10002656,"United States",Central,78207,32.06,6,0.2,6.81
170,CA-2014-139892,2014-09-08,2014-09-12,"Standard Class",BM-11140,OFF-AP-10002518,"United States",Central,78207,177.98,5,0.8,-453.85
171,CA-2014-139892,2014-09-08,2014-09-12,"Standard Class",BM-11140,TEC-PH-10003931,"United States",Central,78207,143.98,3,0.2,9
172,CA-2014-118962,2014-08-05,2014-08-09,"Standard Class",CS-12130,OFF-PA-10000659,"United States",West,90004,20.94,3,NULL,9.84
173,CA-2014-118962,2014-08-05,2014-08-09,"Standard Class",CS-12130,OFF-PA-10001144,"United States",West,90004,110.96,2,NULL,53.26
174,CA-2014-118962,2014-08-05,2014-08-09,"Standard Class",CS-12130,FUR-CH-10003817,"United States",West,90004,340.14,7,0.2,21.26
175,US-2014-100853,2014-09-14,2014-09-19,"Standard Class",JB-15400,OFF-AP-10000891,"United States",Central,60623,52.45,2,0.8,-131.12
176,US-2014-100853,2014-09-14,2014-09-19,"Standard Class",JB-15400,OFF-LA-10003148,"United States",Central,60623,20.16,4,0.2,6.55
177,US-2017-152366,2017-04-21,2017-04-25,"Second Class",SJ-20500,OFF-AP-10002684,"United States",Central,77036,97.26,4,0.8,-243.16
178,US-2015-101511,2015-11-21,2015-11-23,"Second Class",JE-15745,FUR-CH-10004698,"United States",East,43055,396.8,7,0.3,-11.34
179,US-2015-101511,2015-11-21,2015-11-23,"Second Class",JE-15745,OFF-SU-10002189,"United States",East,43055,15.88,5,0.2,-3.77
180,CA-2015-137225,2015-12-15,2015-12-19,"Standard Class",JK-15640,OFF-AR-10001940,"United States",East,10009,3.28,1,NULL,1.41
181,CA-2014-166191,2014-12-05,2014-12-09,"Second Class",DK-13150,OFF-ST-10003455,"United States",Central,62521,24.82,2,0.2,1.86
182,CA-2014-166191,2014-12-05,2014-12-09,"Second Class",DK-13150,TEC-AC-10004659,"United States",Central,62521,408.74,7,0.2,76.64
183,CA-2014-158274,2014-11-19,2014-11-24,"Second Class",RM-19675,TEC-PH-10003273,"United States",South,71203,503.96,4,NULL,131.03
184,CA-2014-158274,2014-11-19,2014-11-24,"Second Class",RM-19675,TEC-PH-10004896,"United States",South,71203,149.95,5,NULL,41.99
185,CA-2014-158274,2014-11-19,2014-11-24,"Second Class",RM-19675,TEC-AC-10002345,"United States",South,71203,29,2,NULL,7.25
186,CA-2016-105018,2016-11-28,2016-12-02,"Standard Class",SK-19990,OFF-BI-10001890,"United States",East,6824,7.16,2,NULL,3.44
187,CA-2014-123260,2014-08-26,2014-08-30,"Standard Class",FM-14290,TEC-AC-10002323,"United States",West,90032,176.8,8,NULL,22.98
188,CA-2016-157000,2016-07-16,2016-07-22,"Standard Class",AM-10360,OFF-ST-10001328,"United States",Central,75051,37.22,3,0.2,3.72
189,CA-2016-157000,2016-07-16,2016-07-22,"Standard Class",AM-10360,OFF-PA-10001950,"United States",Central,75051,20.02,3,0.2,6.26
190,CA-2015-102281,2015-10-12,2015-10-14,"First Class",MP-17470,FUR-BO-10002613,"United States",East,10035,899.14,4,0.2,112.39
191,CA-2015-102281,2015-10-12,2015-10-14,"First Class",MP-17470,TEC-PH-10001552,"United States",East,10035,71.76,6,NULL,20.09
192,CA-2015-102281,2015-10-12,2015-10-14,"First Class",MP-17470,OFF-PA-10000061,"United States",East,10035,51.84,8,NULL,24.88
193,CA-2015-102281,2015-10-12,2015-10-14,"First Class",MP-17470,FUR-BO-10002545,"United States",East,10035,626.35,3,0.2,46.98
194,CA-2015-102281,2015-10-12,2015-10-14,"First Class",MP-17470,OFF-AR-10003514,"United States",East,10035,19.9,5,NULL,6.57
195,CA-2015-131457,2015-10-31,2015-11-06,"Standard Class",MZ-17515,OFF-EN-10001509,"United States",West,92374,14.28,7,NULL,6.71
196,CA-2014-140004,2014-03-21,2014-03-25,"Standard Class",CB-12025,OFF-AR-10004685,"United States",East,45011,7.41,2,0.2,1.2
